date,frank green,water bottle,isPartial,trend_slug,trend_label,trend_query,baseline_term,geo,country
2022-09-01,1,45,False,frank_green,Frank Green,frank green,water bottle,US,United States
2022-10-01,1,39,False,frank_green,Frank Green,frank green,water bottle,US,United States
2022-11-01,2,41,False,frank_green,Frank Green,frank green,water bottle,US,United States
2022-12-01,1,44,False,frank_green,Frank Green,frank green,water bottle,US,United States
2023-01-01,1,47,False,frank_green,Frank Green,frank green,water bottle,US,United States
2023-02-01,1,49,False,frank_green,Frank Green,frank green,water bottle,US,United States
2023-03-01,1,49,False,frank_green,Frank Green,frank green,water bottle,US,United States
2023-04-01,1,49,False,frank_green,Frank Green,frank green,water bottle,US,United States
2023-05-01,1,49,False,frank_green,Frank Green,frank green,water bottle,US,United States
2023-06-01,1,50,False,frank_green,Frank Green,frank green,water bottle,US,United States
2023-07-01,1,55,False,frank_green,Frank Green,frank green,water bottle,US,United States
2023-08-01,1,55,False,frank_green,Frank Green,frank green,water bottle,US,United States
2023-09-01,1,49,False,frank_green,Frank Green,frank green,water bottle,US,United States
2023-10-01,1,43,False,frank_green,Frank Green,frank green,water bottle,US,United States
2023-11-01,1,50,False,frank_green,Frank Green,frank green,water bottle,US,United States
2023-12-01,1,56,False,frank_green,Frank Green,frank green,water bottle,US,United States
2024-01-01,1,59,False,frank_green,Frank Green,frank green,water bottle,US,United States
2024-02-01,1,53,False,frank_green,Frank Green,frank green,water bottle,US,United States
2024-03-01,1,54,False,frank_green,Frank Green,frank green,water bottle,US,United States
2024-04-01,1,54,False,frank_green,Frank Green,frank green,water bottle,US,United States
2024-05-01,1,55,False,frank_green,Frank Green,frank green,water bottle,US,United States
2024-06-01,1,58,False,frank_green,Frank Green,frank green,water bottle,US,United States
2024-07-01,1,62,False,frank_green,Frank Green,frank green,water bottle,US,United States
2024-08-01,1,70,False,frank_green,Frank Green,frank green,water bottle,US,United States
2024-09-01,1,55,False,frank_green,Frank Green,frank green,water bottle,US,United States
2024-10-01,1,49,False,frank_green,Frank Green,frank green,water bottle,US,United States
2024-11-01,1,56,False,frank_green,Frank Green,frank green,water bottle,US,United States
2024-12-01,1,60,False,frank_green,Frank Green,frank green,water bottle,US,United States
2025-01-01,1,50,False,frank_green,Frank Green,frank green,water bottle,US,United States
2025-02-01,1,52,False,frank_green,Frank Green,frank green,water bottle,US,United States
2025-03-01,1,52,False,frank_green,Frank Green,frank green,water bottle,US,United States
2025-04-01,1,51,False,frank_green,Frank Green,frank green,water bottle,US,United States
2025-05-01,1,56,False,frank_green,Frank Green,frank green,water bottle,US,United States
2025-06-01,1,60,False,frank_green,Frank Green,frank green,water bottle,US,United States
2025-07-01,1,76,False,frank_green,Frank Green,frank green,water bottle,US,United States
2025-08-01,1,74,False,frank_green,Frank Green,frank green,water bottle,US,United States
2025-09-01,1,58,False,frank_green,Frank Green,frank green,water bottle,US,United States
2025-10-01,1,52,False,frank_green,Frank Green,frank green,water bottle,US,United States
2025-11-01,1,65,False,frank_green,Frank Green,frank green,water bottle,US,United States
2025-12-01,1,72,False,frank_green,Frank Green,frank green,water bottle,US,United States
2026-01-01,1,55,False,frank_green,Frank Green,frank green,water bottle,US,United States
2026-02-01,1,65,False,frank_green,Frank Green,frank green,water bottle,US,United States
2026-03-01,1,68,False,frank_green,Frank Green,frank green,water bottle,US,United States
2026-04-01,2,100,False,frank_green,Frank Green,frank green,water bottle,US,United States
2026-05-01,2,95,False,frank_green,Frank Green,frank green,water bottle,US,United States
2026-06-01,1,83,True,frank_green,Frank Green,frank green,water bottle,US,United States
